Start,End,First Name,Middle Name,Surname,F/M,Years Served
2009,2011,Ruth,,Reed,F,2
2011,2013,Angela,,Brady,F,2
2015,2017,Jane,,Duncan,F,2
1888,1890,Alfred,,Waterhouse,M,2
1922,1923,Paul,,Waterhouse,M,1
1948,1950,Michael,,Waterhouse,M,2
1861,1863,William,,Tite,M,2
1867,1870,William,,Tite,M,3
1873,1876,George,Gilbert,Scott,M,3
1933,1935,Giles,Gilbert,Scott,M,2
1935,1937,Percy,Edward,Thomas,M,2
1943,1946,Percy,Edward,Thomas,M,3
1981,1983,Owen,,Luder,M,2
1995,1997,Owen,,Luder,M,2
1835,1859,Thomas,Philip,Earl De Grey,M,24
1860,1861,Charles,Robert,Cockerell,M,1
1863,1865,Thomas,Leverton,Donaldson,M,2
1865,1867,Alexander,James Beresford,Hope,M,2
1870,1873,Thomas,Henry,Wyatt,M,3
1876,1879,Charles,,Barry Jr.,M,3
1879,1881,John,,Wichcord Jr.,M,2
1881,1881,George,Edmund,Street (died in office),M,0
1882,1884,Horace,,Jones,M,2
1884,1886,Ewan,,Christian,M,2
1886,1887,Edward,,I'Anson,M,1
1891,1894,John,Macvicar,Anderson,M,3
1894,1896,Francis,Cranmer,Penrose,M,2
1896,1899,George,,Aitchison,M,3
1899,1902,William,,Emerson,M,3
1902,1904,Aston,,Webb,M,2
1904,1906,John,,Belcher,M,2
1906,1908,Thomas,Edward,Collcutt,M,2
1908,1910,Ernest,,George,M,2
1910,1912,Leonard,,Stokes,M,2
1912,1914,Reginald,,Blomfield,M,2
1914,1917,Ernest,,Newton,M,3
1917,1919,Henry,Thomas,Hare,M,2
1919,1921,John,William,Simpson,M,2
1923,1925,John,Alfred,Gotch,M,2
1925,1927,Edward,Guy,Dawber,M,2
1927,1929,Walter,,Tapper,M,2
1929,1931,Banister,Flight,Fletcher,M,2
1931,1933,Raymond,,Unwin,M,2
1937,1939,Harry,Stuart Goodheart,Rendel,M,2
1939,1940,Edwin,Stanley,Hall,M,1
1940,1943,William,Henry,Ansell,M,3
1946,1948,Lancelot,,Keay,M,2
1950,1952,Andrew,Graham,Henderson,M,2
1952,1954,Howard,,Robertson,M,2
1954,1956,Charles,Herbert,Aslin,M,2
1956,1958,Kenneth,,Cross,M,2
1958,1960,Basil,,Spence,M,2
1960,1962,William,,Holford,M,2
1962,1964,Robert,Hogg,Matthew,M,2
1964,1965,Donald,Evelyn Edward,Gibson,M,1
1965,1967,Lionel,Gordon Baliol,Brett,M,2
1967,1969,Hugh,,Wilson,M,2
1969,1971,Peter,Faulkner,Shepheard,M,2
1971,1973,Alex,,Gordon,M,2
1973,1975,Fred,,Pooley,M,2
1975,1977,Eric,,Lyons,M,2
1977,1979,Gordon,,Graham,M,2
1979,1981,John,Brian,Jefferson,M,2
1983,1985,Michael,,Manser,M,2
1985,1987,Larry,,Rolland,M,2
1987,1989,Rod,,Hackney,M,2
1989,1991,Maxwell,,Hutchinson,M,2
1991,1993,Richard,,MacCormac,M,2
1993,1995,Frank,,Duffy,M,2
1997,1999,David,,Rock,M,2
1999,2001,Marco,,Goldschmied,M,2
2001,2003,Paul,,Hyett,M,2
2003,2005,George,,Ferguson,M,2
2005,2007,Jack,,Pringle,M,2
2007,2009,Sunand,,Prasad,M,2
2013,2015,Stephen,,Hodder,M,2
2017,2019,Ben,,Derbyshire,M,2
